"alt","comments","facebookUrl","images/0/thumb","images/1/thumb","images/2/thumb","isVideo","likes","link","pageId","postId","shares","text","thumb","time","timestamp","topLevelUrl","translatedText","url"
,"1","https://pt-br.facebook.com/Localiza/",,,,"true","2",,"543362459038077","8840244412683132",,"Bora conferir mais um episódio da nossa Expedição Amazônia? 🍃 Na aventura de hoje, o fotógrafo Ricardo Martins nos levou para conhecer as belezas e os perigos de uma parte mais selvagem da Amazônia, além de nos apaixonarmos pelo encontro de dois rios, o Rio Negro e o Rio Solimões. 💚​ Confira todos os nossos encontros nesse destino incrível em vaipormim.com ou no link: https://bit.ly/3IoUQdM ✨​ Alugar, comprar, assinar ou cuidar: todas as opções para você curtir a Amazônia com... a Localiza. 🚗🧡💚​ #ExpediçãoAmazônia #RioNegro #RioSolimões ","https://scontent.fdtm2-2.fna.fbcdn.net/v/t15.5256-10/319322125_1259468184996646_3816682642274102156_n.jpg?stp=dst-jpg_p526x296&_nc_cat=106&ccb=1-7&_nc_sid=08861d&_nc_ohc=3oXV7fznxEsAX8x-JlF&_nc_ht=scontent.fdtm2-2.fna&oh=00_AfA8zitbIIM2UtfJ-asqi6AeSWI6ZC1kyaVvvpHiBGsEkg&oe=63BA45B7","Wednesday, January 4, 2023 at 10:06 AM","1672855608000","https://www.facebook.com/543362459038077/posts/8840244412683132","Let's check out another episode of our Amazon Expedition? 🍃 In today's adventure, photographer @[100064584946899:2048:Ricardo Martins] took us to know the beauties and dangers of a wilder part of the Amazon, as well as falling in love with the meeting of two rivers, the black River and the Solim Soes River. 💚

Check out all our encounters at this amazing destination at https://bit.ly/3IoUQdM or link: vaipormim.com ✨

Rent, buy, sign or care: all the options for you to enjoy Amazon with Localiza. 🚗🧡💚

#ExpediçãoAmazônia #RioNegro #RioSolimões","https://www.facebook.com/Localiza/posts/pfbid0XxPBEQt4SQu5UF3iPKdbpCdxfG6pWRygsi9jrbEgx3SvPFuGRLrANKkyARWygwjNl"
,"16","https://pt-br.facebook.com/Localiza/",,,,"true","65",,"543362459038077","8799811956726378",,"Em 2022, criamos soluções #PraVoceChegarLa. Em 2023 continuaremos a te impulsionar, seja qual for o seu caminho! Partiu? ​💚🧡🚗 #Localiza #FelizAnoNovo #Feliz2023","https://scontent.fdtm2-1.fna.fbcdn.net/v/t15.5256-10/318489408_3248816118674576_7754874332503958133_n.jpg?stp=dst-jpg_p403x403&_nc_cat=102&ccb=1-7&_nc_sid=08861d&_nc_ohc=_mm3mpD0ZjIAX904fY3&_nc_ht=scontent.fdtm2-1.fna&oh=00_AfDPoC86NM9LNgCBqsK_wExTslAXFik4nv-vKz_LJ8uRHw&oe=63BB78C2","Monday, December 26, 2022 at 11:36 AM","1672083376000","https://www.facebook.com/543362459038077/posts/8799811956726378","In 2022, we create solutions #PraVoceChegarLa. In 2023 we will continue to promote you, whatever your path is! Is it gone ? 💚🧡🚗

#Localiza #FelizAnoNovo #Feliz2023","https://www.facebook.com/Localiza/posts/pfbid0peK52f6aaVNcSr3q7b3UmUYZwVpPHarZrePyBkf8NV9e8ToQ7BnAT4mnDt3dYyiMl"
,"20","https://pt-br.facebook.com/Localiza/",,,,"true","157",,"543362459038077","8771468756227365","4","Além de alugar o carro ideal, a gente também cuida do seu carro próprio. 🚗🧡💚​ Com o plano de revisão Localiza+, você chega sossegado, e como quiser, ao seu destino.​ ​Alugar, cuidar, assinar ou comprar: todas as possibilidades pra você escolher o seu caminho. ​... #Localiza #LocalizaMais #PraVoceChegarLa ","https://scontent-ams2-1.xx.fbcdn.net/v/t15.5256-10/320193792_480227617557375_5636543056783485238_n.jpg?stp=dst-jpg_p280x280&_nc_cat=110&ccb=1-7&_nc_sid=08861d&_nc_ohc=fcfdHelpB1YAX9rds75&_nc_ht=scontent-ams2-1.xx&oh=00_AfAcsAcWDuNE5EjPb0QdY-qbgF8V5TpPTYkz7zzdOncxcA&oe=63BAEF9D","Tuesday, December 20, 2022 at 11:11 AM","1671563465000","https://www.facebook.com/543362459038077/posts/8771468756227365","Besides renting the ideal car, we also take care of your own car. 🚗🧡💚

With the Localiza+ revision plan, you arrive quietly, and as you wish, to your destination.

Rent, care, sign or buy: all the possibilities for you to choose your path.

#Localiza #LocalizaMais #PraVoceChegarLa","https://www.facebook.com/Localiza/posts/pfbid02WB4xCEMzvpSbhTfxzhjRxfg4XxaTGJbHzqzLc7NG9T3oKyTV4emDbZacqkKt1U7wl"
,"75","https://pt-br.facebook.com/Localiza/",,,,"true","1400",,"543362459038077","8765642906809950","220","Oui! A Localiza tá na França. 🚙🇫🇷 ​ Fazer a viagem dos sonhos com quem você confia é muito melhor. ➡ #LocalizaNaGringa 💚​ Vem conhecer um roteiro pela França bem especial e as melhores rotas da Europa em vaipormim.com ou no link https://bit.ly/FBFranca... ​  #ViajePeloMundo #França ","https://scontent.fdtm2-1.fna.fbcdn.net/v/t15.5256-10/319882056_1298937770839454_3143877854760472969_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=08861d&_nc_ohc=WoAPXNtVhw8AX8ew4ui&_nc_ht=scontent.fdtm2-1.fna&oh=00_AfDPaE9CzXODgpKpRmv-m0tQBs-xruSEG8XI_lnCeuOi0w&oe=63BB9295","Monday, December 19, 2022 at 6:43 AM","1671460980000","https://www.facebook.com/543362459038077/posts/8765642906809950","Yes! Location is in France. 🚙🇫🇷

Making the dream trip with someone you trust is much better. ➡ #LocateNaGringa 💚

Come and see a very special route through France and the best routes in Europe at vaipormim.com or at the link https://bit.ly/FBFranca

 #ViajePeloMundo #França","https://www.facebook.com/Localiza/posts/pfbid035YP6JwfGQNfmAuibs2c4H5q7vn9L7QgnhEAqkZbZE3bqjrwGUQfmh51fff5rXuL4l"
,"22","https://pt-br.facebook.com/Localiza/",,,,"true","92",,"543362459038077","8746092628764978","1","Alugar um carro ou assinar um 0km e pegar a estrada quando quiser? A Localiza tem soluções para você viver as melhores experiências e chegar lá como quiser: alugar, assinar, comprar ou cuidar 🚗🧡💚​ ​ Vem muito mais por aí! ​ #Localiza #PraVoceChegarLa","https://scontent.fdtm2-2.fna.fbcdn.net/v/t15.5256-10/320185660_729829564818249_757921094246930602_n.jpg?stp=dst-jpg_p280x280&_nc_cat=106&ccb=1-7&_nc_sid=08861d&_nc_ohc=5y-v6jUnO4EAX8o566t&_nc_ht=scontent.fdtm2-2.fna&oh=00_AfC2LM5qvHYYDJEE8MtsLpMVdf7NjYFMViy5ySQMhrlilQ&oe=63BB96BB","Thursday, December 15, 2022 at 6:16 AM","1671113789000","https://www.facebook.com/543362459038077/posts/8746092628764978","Rent a car or sign 0km and hit the road whenever you want? Lociza has solutions for you to live the best experiences and get there as you want: rent, sign, buy or care 🚗 🧡 💚

Many more to come!

#Localiza #PraVoceChegarLa","https://www.facebook.com/Localiza/posts/pfbid0vFecQQTCBwofXyERYNwxCH8Q5BeSaKkqGcoJduRzrvrxqNV6k8spXi2avodHrQvdl"
,"36","https://pt-br.facebook.com/Localiza/",,,,"true","320",,"543362459038077","8735172476523660","47","Ahhh, o Algarve! 😍 A melhor opção para viajar pelo litoral sul de Portugal é de carro, e você pode contar com a Localiza pra pegar a estrada por lá. O seu caminho fora do Brasil pode ser tão especial quanto é por aqui. Bora se aventurar? 🚙💚🇵🇹​​ Dicas incríveis sobre Portugal te esperam em vaipormim.com ou pelo link https://bit.ly/FBAlgarve  #LocalizaNaGringa #Parceria #ViajePeloMundo","https://scontent-atl3-1.xx.fbcdn.net/v/t15.5256-10/320068614_1850234351993998_2892955325067590148_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=08861d&_nc_ohc=ASGbxMKORQYAX-vSS21&_nc_ht=scontent-atl3-1.xx&oh=00_AfDHzINH4NA35aRJTWsqGaR-p2dBtRndr8DRCYMfnNiaHA&oe=63BAD672","Tuesday, December 13, 2022 at 6:26 AM","1670941563000","https://www.facebook.com/543362459038077/posts/8735172476523660","Ahhh, the Algarve! 😍 The best option to travel along the southern coast of Portugal is by car, and you can count on Lociza to take the road there. Your way out of Brazil might be as special as it is here. Let's go on an adventure? 🚙💚🇵🇹

Incredible tips about Portugal await you at vaipormim.com or via the link https://bit.ly/FBAlgarve

#LocalizaNaGringa #Parceria #ViajePeloMundo","https://www.facebook.com/Localiza/posts/pfbid02TzvzVPHQVyc1gqeJXF4kbnpiRsf1UuRxx8svosNfqWbgvcmKoXGctPCaZQr2Hmnml"
,"8","https://pt-br.facebook.com/Localiza/",,,,"true","22",,"543362459038077","8729631470411094","1","Que tipo de viajante você é? A Localiza sempre tem a melhor opção para você alugar ou um Seminovo para chamar de seu, perfeitos para acompanhar o seu estilo de vida. ​ Alugar, comprar, assinar ou cuidar: todas as opções para você escolher o seu caminho. 🚗🧡💚​ ​ Vem muito mais por aí! ​#Localiza #PraVoceChegarLa","https://scontent-atl3-1.xx.fbcdn.net/v/t15.5256-10/319960789_685299956316946_2620477880519911227_n.jpg?stp=dst-jpg_p280x280&_nc_cat=109&ccb=1-7&_nc_sid=08861d&_nc_ohc=cB-pQbwc-IAAX9cPAxa&_nc_ht=scontent-atl3-1.xx&oh=00_AfAgOZBbPbnXVju2DxvQpimyOOuJAeYFv_2Y2ebimAMgqA&oe=63BBC67A","Monday, December 12, 2022 at 11:36 AM","1670873796000","https://www.facebook.com/543362459038077/posts/8729631470411094","What kind of traveler are you? The Lociza always has the best option for you to rent or a Seminovo to call your own, perfect to accompany your lifestyle.

Rent, buy, sign or care: all options for you to choose your path. 🚗🧡💚

Many more to come! #LocateUp #PraVoice GettinIt","https://www.facebook.com/Localiza/posts/pfbid0MEkxsbHnKW7xo2wJG66irpw1kVBXUgyJ5FoGHFMMTefRi6J2nwX7Gp3jSwJRrSdPl"
,"109","https://pt-br.facebook.com/Localiza/",,,,"true","1500",,"543362459038077","8698500363524205","207","Para conhecer a história de Portugal ou fazer a Rota dos Pastéis de Nata, você pode contar com a Localiza! 🚗  A gente te acompanha na sua próxima aventura pela Europa. Viajar pelo Velho Continente ficou mais fácil com a Localiza na Gringa! 🌎... Saiba mais em localiza.com ou pelo link: https://bit.ly/SitePortugal #LocalizaNaGringa #Parceria #ViajePeloMundo #Portugal ","https://scontent-atl3-1.xx.fbcdn.net/v/t15.5256-10/319086894_528953862584271_9113274459046399337_n.jpg?stp=dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=08861d&_nc_ohc=olXWF3tPvA0AX8_a8zE&_nc_ht=scontent-atl3-1.xx&oh=00_AfDavxEYkq9bmDj_378iYYriyYPdcYMx23uw_K4Sx7RT0Q&oe=63BA3D8B","Friday, December 9, 2022 at 5:19 AM","1670591953000","https://www.facebook.com/543362459038077/posts/8698500363524205","To learn about the history of Portugal or to do the Cream Pastries Route, you can count on Lociza! 🚗

We accompany you on your next adventure through Europe.
Traveling through the Old Continent just got easier with the Location at Gringa! 🌎

Learn more at localiza.com or via the link: https://bit.ly/SitePortugal

#LocalizaNaGringa #Parceria #ViajePeloMundo #Portugal","https://www.facebook.com/Localiza/posts/pfbid0vNXe5wMtqWsAtih9WEUvFYKPGYnefhCwj37hm6BPgXZqe15Mr1setx3jdqV3LAnEl"
"May be an image of body of water, tree and text that says 'Localiza Impulsionando a mobilidade pra você chegar lá.'","1","https://pt-br.facebook.com/Localiza/",,,,,"7","https://www.facebook.com/Localiza/photos/a.615314801842842/8687128164661425/?type=3","543362459038077","8687128504661391","1","","https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/318755821_8687128154661426_5619004344974059957_n.jpg?stp=dst-jpg_s526x296&_nc_cat=104&ccb=1-7&_nc_sid=dd9801&_nc_ohc=x5Upm85Im_YAX88pMCO&_nc_ht=scontent-atl3-1.xx&oh=00_AfDOCPc2NaenOd6jusabtaIATvnxoIBAt9vFIQYFlb-SXA&oe=63BACDE1","Wednesday, December 7, 2022 at 10:31 AM","1670437890000","https://www.facebook.com/543362459038077/posts/8687128504661391",,"https://www.facebook.com/Localiza/posts/8687128504661391"
,"10","https://pt-br.facebook.com/Localiza/",,,,"true","75",,"543362459038077","8687060261334882","5","A nossa marca mudou porque, assim como você, a gente não fica parado e se desafia a evoluir cada vez mais. Como podemos nos movimentar ainda melhor? Sempre do seu jeito! Comprar, alugar, assinar ou cuidar. Como chegar lá, você escolhe e a gente faz acontecer. Vem muito mais por aí!💚🧡🚗... #Localiza #PraVoceChegarLa ","https://scontent-atl3-1.xx.fbcdn.net/v/t15.5256-10/318277455_846740649911040_3931902106641774698_n.jpg?stp=dst-jpg_p280x280&_nc_cat=103&ccb=1-7&_nc_sid=08861d&_nc_ohc=-5DF_Vzt8_0AX-TY-iQ&_nc_ht=scontent-atl3-1.xx&oh=00_AfBLky_7sc5Jh_zIVtd8dQqKrUnZ5gsecUSI2xo1uAIX_w&oe=63BB40EA","Wednesday, December 7, 2022 at 10:11 AM","1670436663000","https://www.facebook.com/543362459038077/posts/8687060261334882","Our brand has changed because, just like you, we don't sit still and challenge ourselves to evolve more and more.

How can we move even better? Always have your way ! Buy, rent, sign or foster. How you get there, you choose and we make it happen.

Many more to come! 💚🧡🚗

#Localiza #PraVoceChegarLa","https://www.facebook.com/Localiza/posts/pfbid0g46Wg5zjMUMUg2j4i5BtfXdYvFXv6GniHiFUU4jjDq5Fs6E77N4Kxp9XJ6BUdRQcl"
